round,path_before,action,path_after,e2e_rtt_ms,e2e_loss_pct,throughput_mbps,direct_probe_rtt_ms,direct_probe_loss_pct,backup_probe_rtt_ms,backup_probe_loss_pct,direct_score,backup_score,score_delta,direct_healthy_streak,backup_healthy_streak,probability
1,direct,KEEP_DIRECT,direct,0.398,0.0,17636.84517730021,0.063,0.0,0.426,0.0,0.063,0.426,-0.363,1,1,"{'KEEP_BACKUP': np.float64(0.0), 'KEEP_DIRECT': np.float64(1.0), 'RESTORE_DIRECT': np.float64(0.0), 'SWITCH_TO_BACKUP': np.float64(0.0)}"
2,direct,KEEP_DIRECT,direct,0.216,0.0,13881.150770569357,0.21,0.0,0.252,0.0,0.21,0.252,-0.04200000000000001,2,2,"{'KEEP_BACKUP': np.float64(0.0), 'KEEP_DIRECT': np.float64(1.0), 'RESTORE_DIRECT': np.float64(0.0), 'SWITCH_TO_BACKUP': np.float64(0.0)}"
3,direct,KEEP_DIRECT,direct,0.505,0.0,12793.887011369696,0.07,0.0,0.389,0.0,0.07,0.389,-0.319,3,3,"{'KEEP_BACKUP': np.float64(0.0), 'KEEP_DIRECT': np.float64(1.0), 'RESTORE_DIRECT': np.float64(0.0), 'SWITCH_TO_BACKUP': np.float64(0.0)}"
4,direct,KEEP_DIRECT,direct,0.207,0.0,12643.615878676663,0.071,0.0,0.493,0.0,0.071,0.493,-0.422,4,4,"{'KEEP_BACKUP': np.float64(0.0), 'KEEP_DIRECT': np.float64(1.0), 'RESTORE_DIRECT': np.float64(0.0), 'SWITCH_TO_BACKUP': np.float64(0.0)}"
5,direct,SWITCH_TO_BACKUP,backup,100.371,0.0,0.8715523811977759,100.1,0.0,0.397,0.0,100.1,0.397,99.70299999999999,0,5,"{'KEEP_BACKUP': np.float64(0.0), 'KEEP_DIRECT': np.float64(0.0), 'RESTORE_DIRECT': np.float64(0.0), 'SWITCH_TO_BACKUP': np.float64(1.0)}"
6,backup,KEEP_BACKUP,backup,0.557,0.0,15002.12228626735,100.11,0.0,0.155,0.0,100.11,0.155,99.955,0,6,"{'KEEP_BACKUP': np.float64(1.0), 'KEEP_DIRECT': np.float64(0.0), 'RESTORE_DIRECT': np.float64(0.0), 'SWITCH_TO_BACKUP': np.float64(0.0)}"
7,backup,KEEP_BACKUP,backup,0.582,0.0,14298.676825416303,100.105,0.0,0.13,0.0,100.105,0.13,99.97500000000001,0,7,"{'KEEP_BACKUP': np.float64(1.0), 'KEEP_DIRECT': np.float64(0.0), 'RESTORE_DIRECT': np.float64(0.0), 'SWITCH_TO_BACKUP': np.float64(0.0)}"
8,backup,KEEP_BACKUP,backup,0.48,0.0,15216.322320906747,160.219,0.0,0.22999999999999998,0.0,160.219,0.22999999999999998,159.989,0,8,"{'KEEP_BACKUP': np.float64(1.0), 'KEEP_DIRECT': np.float64(0.0), 'RESTORE_DIRECT': np.float64(0.0), 'SWITCH_TO_BACKUP': np.float64(0.0)}"
9,backup,KEEP_BACKUP,backup,0.358,0.0,12939.750583431127,160.103,0.0,0.244,0.0,160.103,0.244,159.859,0,9,"{'KEEP_BACKUP': np.float64(1.0), 'KEEP_DIRECT': np.float64(0.0), 'RESTORE_DIRECT': np.float64(0.0), 'SWITCH_TO_BACKUP': np.float64(0.0)}"
10,backup,KEEP_BACKUP,backup,0.376,0.0,13483.090625344286,160.256,0.0,0.2,0.0,160.256,0.2,160.056,0,10,"{'KEEP_BACKUP': np.float64(1.0), 'KEEP_DIRECT': np.float64(0.0), 'RESTORE_DIRECT': np.float64(0.0), 'SWITCH_TO_BACKUP': np.float64(0.0)}"
11,backup,KEEP_BACKUP,backup,0.356,0.0,10410.635121688672,160.128,0.0,0.346,0.0,160.128,0.346,159.78199999999998,0,11,"{'KEEP_BACKUP': np.float64(1.0), 'KEEP_DIRECT': np.float64(0.0), 'RESTORE_DIRECT': np.float64(0.0), 'SWITCH_TO_BACKUP': np.float64(0.0)}"
12,backup,KEEP_BACKUP,backup,0.398,0.0,11865.909234562505,60.232,0.0,0.42100000000000004,0.0,60.232,0.42100000000000004,59.811,0,12,"{'KEEP_BACKUP': np.float64(1.0), 'KEEP_DIRECT': np.float64(0.0), 'RESTORE_DIRECT': np.float64(0.0), 'SWITCH_TO_BACKUP': np.float64(0.0)}"
13,backup,KEEP_BACKUP,backup,0.441,0.0,16185.273296131396,60.292,0.0,0.22899999999999998,0.0,60.292,0.22899999999999998,60.063,0,13,"{'KEEP_BACKUP': np.float64(1.0), 'KEEP_DIRECT': np.float64(0.0), 'RESTORE_DIRECT': np.float64(0.0), 'SWITCH_TO_BACKUP': np.float64(0.0)}"
14,backup,KEEP_BACKUP,backup,0.455,0.0,14194.896644668419,0.193,0.0,0.23600000000000002,0.0,0.193,0.23600000000000002,-0.04300000000000001,1,14,"{'KEEP_BACKUP': np.float64(1.0), 'KEEP_DIRECT': np.float64(0.0), 'RESTORE_DIRECT': np.float64(0.0), 'SWITCH_TO_BACKUP': np.float64(0.0)}"
15,backup,KEEP_BACKUP,backup,80.69,25.0,7.448906143303796,0.269,0.0,80.4,0.0,0.269,80.4,-80.131,2,0,"{'KEEP_BACKUP': np.float64(1.0), 'KEEP_DIRECT': np.float64(0.0), 'RESTORE_DIRECT': np.float64(0.0), 'SWITCH_TO_BACKUP': np.float64(0.0)}"
16,backup,RESTORE_DIRECT,direct,80.316,0.0,4.34807272220628,0.185,0.0,80.18299999999999,0.0,0.185,80.18299999999999,-79.99799999999999,3,0,"{'KEEP_BACKUP': np.float64(0.0), 'KEEP_DIRECT': np.float64(0.0), 'RESTORE_DIRECT': np.float64(1.0), 'SWITCH_TO_BACKUP': np.float64(0.0)}"
17,direct,KEEP_DIRECT,direct,0.324,0.0,14081.111736657225,0.181,0.0,80.341,0.0,0.181,80.341,-80.16,4,0,"{'KEEP_BACKUP': np.float64(0.0), 'KEEP_DIRECT': np.float64(1.0), 'RESTORE_DIRECT': np.float64(0.0), 'SWITCH_TO_BACKUP': np.float64(0.0)}"
18,direct,KEEP_DIRECT,direct,0.239,0.0,20263.1664991367,0.379,0.0,85.297,0.0,0.379,85.297,-84.91799999999999,5,0,"{'KEEP_BACKUP': np.float64(0.0), 'KEEP_DIRECT': np.float64(1.0), 'RESTORE_DIRECT': np.float64(0.0), 'SWITCH_TO_BACKUP': np.float64(0.0)}"
19,direct,KEEP_DIRECT,direct,0.345,0.0,15157.653164678262,0.146,0.0,0.42900000000000005,0.0,0.146,0.42900000000000005,-0.28300000000000003,6,1,"{'KEEP_BACKUP': np.float64(0.0), 'KEEP_DIRECT': np.float64(1.0), 'RESTORE_DIRECT': np.float64(0.0), 'SWITCH_TO_BACKUP': np.float64(0.0)}"
20,direct,KEEP_DIRECT,direct,0.217,0.0,13448.742611894542,0.07,0.0,0.263,0.0,0.07,0.263,-0.193,7,2,"{'KEEP_BACKUP': np.float64(0.0), 'KEEP_DIRECT': np.float64(1.0), 'RESTORE_DIRECT': np.float64(0.0), 'SWITCH_TO_BACKUP': np.float64(0.0)}"
